"Betweenness unDir","Bridging unDir","Centroid unDir","Closeness unDir","Degree unDir","Eccentricity unDir","EigenVector unDir","name","Radiality unDir","selected","shared name","Stress unDir"
"0.0","0.0","-859.0","2.2660321776569228E-4","2.0","0.1111111111111111","8.688711873015716E-5","HM13","6.874564459930314","false","HM13","0.0"
"0.0","0.0","-860.0","2.0593080724876442E-4","1.0","0.1","2.443046729103364E-5","GDF11","6.360046457607433","true","GDF11","0.0"
"0.0","0.0","-860.0","2.767783005812344E-4","1.0","0.125","0.0010079159249265204","MAP2","7.803716608594657","true","MAP2","0.0"
"0.0","0.0","-860.0","2.1372088053002778E-4","1.0","0.1111111111111111","3.260200288646425E-5","CTSL","6.565621370499419","true","CTSL","0.0"
"1720.0","825.6","-858.0","2.618486514794449E-4","2.0","0.125","8.274833962717847E-4","CTSB","7.564459930313589","false","CTSB","16846.0"
"0.0","0.0","-858.0","2.3730422401518748E-4","2.0","0.1111111111111111","8.036163232369273E-5","CARS","7.105691056910569","false","CARS","0.0"
"0.0","0.0","-860.0","3.0012004801920766E-4","1.0","0.14285714285714285","0.0017945870933160613","DSTN","8.130081300813009","true","DSTN","0.0"
"0.0","0.0","-689.0","2.7616680475006904E-4","3.0","0.125","9.412581214046344E-4","PLK2","7.794425087108014","false","PLK2","0.0"
"3436.0","795.9654676258992","-779.0","2.8620492272467084E-4","4.0","0.1111111111111111","0.002641610454679058","SH3GLB1","7.9419279907084785","false","SH3GLB1","20576.0"
"7.587396380463603","5.0148456763579174","-814.0","2.6752273943285177E-4","4.0","0.125","3.341797558139667E-4","TRAF5","7.658536585365853","false","TRAF5","82.0"
